timestamp,temperature,humidity
00:00:00:00,11.5,60.0
00:00:00:05,11.5,60.0
00:00:00:10,11.5,60.0
00:00:00:15,11.5,60.0
00:00:00:20,11.5,60.0
00:00:00:25,11.5,60.0
00:00:00:30,11.5,60.0
00:00:00:35,11.5,60.0
00:00:00:40,11.5,60.0
00:00:00:45,11.5,60.0
00:00:00:50,11.5,60.0
00:00:00:55,11.5,60.0
00:00:01:00,11.5,60.0
00:00:01:05,11.5,60.0
00:00:01:10,11.5,60.0
00:00:01:15,11.5,60.0
00:00:01:20,11.5,60.0
00:00:01:25,11.5,60.0
00:00:01:30,11.5,60.0
00:00:01:35,11.5,60.0
00:00:01:40,11.5,60.0
00:00:01:45,11.5,60.0
00:00:01:50,11.5,60.0
00:00:01:55,11.5,60.0
00:00:02:00,11.5,60.0
00:00:02:05,11.5,60.0
00:00:02:10,11.5,60.0
00:00:02:15,11.5,60.0
00:00:02:20,11.5,60.0
00:00:02:25,11.5,60.0
00:00:02:30,11.5,60.0
00:00:02:35,11.5,60.0
00:00:02:40,11.5,60.0
00:00:02:45,11.5,60.0
00:00:02:50,11.5,60.0
00:00:02:55,11.5,60.0
00:00:03:00,11.5,60.0
00:00:03:05,11.5,60.0
00:00:03:10,11.5,60.0
00:00:03:15,11.5,60.0
00:00:03:20,11.5,60.0
00:00:03:25,11.5,60.0
00:00:03:30,11.5,60.0
00:00:03:35,11.5,60.0
00:00:03:40,11.5,60.0
00:00:03:45,11.5,60.0
00:00:03:50,11.5,60.0
00:00:03:55,11.5,60.0
00:00:04:00,11.5,60.0
00:00:04:05,11.5,60.0
00:00:04:10,11.5,60.0
00:00:04:15,11.5,60.0
00:00:04:20,11.5,60.0
00:00:04:25,11.5,60.0
00:00:04:30,11.5,60.0
00:00:04:35,11.5,60.0
00:00:04:40,11.5,60.0
00:00:04:45,11.5,60.0
00:00:04:50,11.5,60.0
00:00:04:55,11.5,60.0
00:00:05:00,11.5,60.0
00:00:05:05,11.5,60.0
00:00:05:10,11.5,60.0
00:00:05:15,11.5,60.0
00:00:05:20,11.5,60.0
00:00:05:25,11.5,60.0
00:00:05:30,11.5,60.0
00:00:05:35,11.5,60.0
00:00:05:40,11.5,60.0
00:00:05:45,11.5,60.0
00:00:05:50,11.5,60.0
00:00:05:55,11.5,60.0
00:00:06:00,11.5,60.0
00:00:06:05,11.5,60.0
00:00:06:10,11.5,60.0
00:00:06:15,11.5,60.0
00:00:06:20,11.5,60.0
00:00:06:25,11.5,60.0
00:00:06:30,11.5,60.0
00:00:06:35,11.5,60.0
00:00:06:40,11.5,60.0
00:00:06:45,11.5,60.0
00:00:06:50,11.5,60.0
00:00:06:55,11.5,60.0
00:00:07:00,11.5,60.0
00:00:07:05,11.5,60.0
00:00:07:10,11.5,60.0
00:00:07:15,11.5,60.0
00:00:07:20,11.5,60.0
00:00:07:25,11.5,60.0
00:00:07:30,11.5,60.0
00:00:07:35,11.5,60.0
00:00:07:40,11.5,60.0
00:00:07:45,11.5,60.0
00:00:07:50,11.5,60.0
00:00:07:55,11.5,60.0
00:00:08:00,11.5,60.0
00:00:08:05,11.5,60.0
00:00:08:10,11.5,60.0
00:00:08:15,11.5,60.0
00:00:08:20,11.5,60.0
00:00:08:25,11.5,60.0
00:00:08:30,11.5,60.0
00:00:08:35,11.5,60.0
00:00:08:40,11.5,60.0
00:00:08:45,11.5,60.0
00:00:08:50,11.5,60.0
00:00:08:55,11.5,60.0
00:00:09:00,11.5,60.0
00:00:09:05,11.5,60.0
00:00:09:10,11.5,60.0
00:00:09:15,11.5,60.0
00:00:09:20,11.5,60.0
00:00:09:25,11.5,60.0
00:00:09:30,11.5,60.0
00:00:09:35,11.5,60.0
00:00:09:40,11.5,60.0
00:00:09:45,11.5,60.0
00:00:09:50,11.5,60.0
00:00:09:55,11.5,60.0
00:00:10:00,11.5,60.0
00:00:10:05,11.5,60.0
00:00:10:10,11.5,60.0
00:00:10:15,11.5,60.0
00:00:10:20,11.5,60.0
00:00:10:25,11.5,60.0
00:00:10:30,11.5,60.0
00:00:10:35,11.5,60.0
00:00:10:40,11.5,60.0
00:00:10:45,11.5,60.0
00:00:10:50,11.5,60.0
00:00:10:55,11.5,60.0
00:00:11:00,11.5,60.0
00:00:11:05,11.5,60.0
00:00:11:10,11.5,60.0
00:00:11:15,11.5,60.0
00:00:11:20,11.5,60.0
00:00:11:25,11.5,60.0
00:00:11:30,11.5,60.0
00:00:11:35,11.5,60.0
00:00:11:40,11.5,60.0
00:00:11:45,11.5,60.0
00:00:11:50,11.5,60.0
00:00:11:55,11.5,60.0
00:00:12:00,11.5,60.0
00:00:12:05,11.5,60.0
00:00:12:10,11.5,60.0
00:00:12:15,11.5,60.0
00:00:12:20,11.5,60.0
00:00:12:25,11.5,60.0
00:00:12:30,11.5,60.0
00:00:12:35,11.5,60.0
00:00:12:40,11.5,60.0
00:00:12:45,11.5,60.0
00:00:12:50,11.5,60.0
00:00:12:55,11.5,60.0
00:00:13:00,11.5,60.0
00:00:13:05,11.5,60.0
00:00:13:10,11.5,59.9
00:00:13:15,11.5,59.9
00:00:13:20,11.5,59.9
00:00:13:25,11.5,59.9
00:00:13:30,11.5,59.9
00:00:13:35,11.5,59.9
00:00:13:40,11.5,59.9
00:00:13:45,11.5,59.9
00:00:13:50,11.5,59.9
00:00:13:55,11.5,59.9
00:00:14:00,11.5,59.9
00:00:14:05,11.5,59.9
00:00:14:10,11.5,59.9
00:00:14:15,11.5,59.9
00:00:14:20,11.5,59.9
00:00:14:25,11.5,59.9
00:00:14:30,11.5,59.9
00:00:14:35,11.5,59.9
