timestamp,temperature,humidity,heater_status,cooler_status
00:00:00:00,20.01,54.99,0,0
00:01:00:00,20.02,55.07,0,0
00:02:00:00,20.02,55.06,0,0
00:03:00:00,20.05,55.1,0,0
00:04:00:00,20.04,55.12,0,0
00:05:00:00,20.03,55.1,0,0
00:06:00:00,20.04,55.0,0,0
00:07:00:00,20.0,54.98,0,0
00:08:00:00,19.98,54.99,0,0
00:09:00:00,19.96,54.92,0,0
00:10:00:00,19.99,54.91,0,0
00:11:00:00,19.99,54.84,0,0
00:12:00:00,19.98,54.84,0,0
00:13:00:00,19.96,54.86,0,0
00:14:00:00,19.95,54.85,0,0
00:15:00:00,19.94,54.94,0,0
00:16:00:00,19.94,54.89,0,0
00:17:00:00,19.95,54.83,0,0
00:18:00:00,19.96,54.73,0,0
00:19:00:00,19.93,54.74,0,0
00:20:00:00,19.95,54.75,0,0
00:21:00:00,19.94,54.73,0,0
00:22:00:00,19.91,54.7,0,0
00:23:00:00,19.91,54.75,0,0
00:24:00:00,19.91,54.66,0,0
00:25:00:00,19.92,54.64,0,0
00:26:00:00,19.91,54.67,0,0
00:27:00:00,19.93,54.72,0,0
00:28:00:00,19.91,54.7,0,0
00:29:00:00,19.92,54.75,0,0
00:30:00:00,19.91,54.74,0,0
00:31:00:00,19.89,54.68,0,0
00:32:00:00,19.9,54.75,0,0
00:33:00:00,19.9,54.8,0,0
00:34:00:00,19.91,54.77,0,0
00:35:00:00,19.92,54.84,0,0
00:36:00:00,19.92,54.92,0,0
00:37:00:00,19.86,54.96,0,0
00:38:00:00,19.87,54.95,0,0
00:39:00:00,19.87,54.85,0,0
00:40:00:00,19.86,54.87,0,0
00:41:00:00,19.89,54.84,0,0
00:42:00:00,19.88,54.82,0,0
00:43:00:00,19.9,54.83,0,0
00:44:00:00,19.89,54.86,0,0
00:45:00:00,19.89,54.91,0,0
00:46:00:00,19.87,54.89,0,0
00:47:00:00,19.87,54.82,0,0
00:48:00:00,19.87,54.83,0,0
00:49:00:00,19.87,54.82,0,0
00:50:00:00,19.85,54.8,0,0
00:51:00:00,19.84,54.75,0,0
00:52:00:00,19.84,54.78,0,0
00:53:00:00,19.87,54.78,0,0
00:54:00:00,19.88,54.78,0,0
00:55:00:00,19.84,54.78,0,0
00:56:00:00,19.84,54.9,0,0
00:57:00:00,19.84,54.92,0,0
00:58:00:00,19.84,54.86,0,0
00:59:00:00,19.86,54.89,0,0
01:00:00:00,19.88,54.85,0,0
01:01:00:00,19.91,54.78,0,0
01:02:00:00,19.92,54.89,0,0
01:03:00:00,19.9,54.86,0,0
01:04:00:00,19.9,54.83,0,0
01:05:00:00,19.87,54.84,0,0
01:06:00:00,19.85,54.86,0,0
01:07:00:00,19.83,54.94,0,0
01:08:00:00,19.82,54.92,0,0
01:09:00:00,19.84,54.86,0,0
01:10:00:00,19.84,54.93,0,0
01:11:00:00,19.81,54.93,0,0
01:12:00:00,19.81,54.97,0,0
01:13:00:00,19.79,54.91,0,0
01:14:00:00,19.8,54.92,0,0
01:15:00:00,19.81,54.94,0,0
01:16:00:00,19.79,54.95,0,0
01:17:00:00,19.8,54.91,0,0
01:18:00:00,19.84,54.94,0,0
01:19:00:00,19.81,54.97,0,0
01:20:00:00,19.8,55.01,0,0
01:21:00:00,19.82,54.97,0,0
01:22:00:00,19.84,54.99,0,0
01:23:00:00,19.86,55.08,0,0
01:24:00:00,19.85,55.05,0,0
01:25:00:00,19.84,55.0,0,0
01:26:00:00,19.83,55.02,0,0
01:27:00:00,19.84,55.06,0,0
01:28:00:00,19.84,55.13,0,0
01:29:00:00,19.84,55.27,0,0
01:30:00:00,19.85,55.23,0,0
01:31:00:00,19.83,55.25,0,0
01:32:00:00,19.83,55.29,0,0
01:33:00:00,19.84,55.28,0,0
01:34:00:00,19.82,55.21,0,0
01:35:00:00,19.81,55.25,0,0
01:36:00:00,19.82,55.19,0,0
01:37:00:00,19.82,55.21,0,0
01:38:00:00,19.8,55.21,0,0
01:39:00:00,19.8,55.16,0,0
01:40:00:00,19.81,55.18,0,0
01:41:00:00,19.84,55.24,0,0
01:42:00:00,19.81,55.19,0,0
01:43:00:00,19.82,55.21,0,0
01:44:00:00,19.83,55.41,0,0
01:45:00:00,19.84,55.46,0,0
01:46:00:00,19.86,55.5,0,0
01:47:00:00,19.86,55.53,0,0
01:48:00:00,19.84,55.52,0,0
01:49:00:00,19.83,55.52,0,0
01:50:00:00,19.88,55.43,0,0
01:51:00:00,19.89,55.35,0,0
01:52:00:00,19.89,55.4,0,0
01:53:00:00,19.89,55.35,0,0
01:54:00:00,19.87,55.38,0,0
01:55:00:00,19.86,55.39,0,0
01:56:00:00,19.86,55.36,0,0
01:57:00:00,19.91,55.39,0,0
01:58:00:00,19.87,55.4,0,0
01:59:00:00,19.85,55.44,0,0
02:00:00:00,19.84,55.44,0,0
02:01:00:00,19.85,55.48,0,0
02:02:00:00,19.83,55.46,0,0
02:03:00:00,19.82,55.43,0,0
02:04:00:00,19.86,55.45,0,0
02:05:00:00,19.83,55.5,0,0
02:06:00:00,19.87,55.55,0,0
02:07:00:00,19.84,55.52,0,0
02:08:00:00,19.87,55.49,0,0
02:09:00:00,19.88,55.52,0,0
02:10:00:00,19.86,55.52,0,0
02:11:00:00,19.8,55.47,0,0
02:12:00:00,19.8,55.41,0,0
02:13:00:00,19.83,55.34,0,0
02:14:00:00,19.82,55.34,0,0
02:15:00:00,19.85,55.27,0,0
02:16:00:00,19.88,55.27,0,0
02:17:00:00,19.86,55.29,0,0
02:18:00:00,19.86,55.26,0,0
02:19:00:00,19.86,55.24,0,0
02:20:00:00,19.87,55.27,0,0
02:21:00:00,19.9,55.21,0,0
02:22:00:00,19.94,55.11,0,0
02:23:00:00,19.94,55.14,0,0
02:24:00:00,19.95,55.11,0,0
02:25:00:00,19.95,55.09,0,0
02:26:00:00,19.93,55.13,0,0
02:27:00:00,19.94,55.09,0,0
02:28:00:00,19.96,55.11,0,0
02:29:00:00,19.98,55.14,0,0
02:30:00:00,19.96,55.11,0,0
02:31:00:00,19.98,55.14,0,0
02:32:00:00,19.98,55.15,0,0
02:33:00:00,20.01,55.12,0,0
02:34:00:00,20.02,55.11,0,0
02:35:00:00,20.02,55.16,0,0
02:36:00:00,20.03,55.2,0,0
02:37:00:00,20.06,55.2,0,0
02:38:00:00,20.08,55.19,0,0
02:39:00:00,20.08,55.18,0,0
02:40:00:00,20.09,55.21,0,0
02:41:00:00,20.07,55.31,0,0
02:42:00:00,20.05,55.25,0,0
02:43:00:00,20.08,55.29,0,0
02:44:00:00,20.09,55.32,0,0
02:45:00:00,20.09,55.28,0,0
02:46:00:00,20.09,55.24,0,0
02:47:00:00,20.11,55.23,0,0
02:48:00:00,20.1,55.22,0,0
02:49:00:00,20.11,55.19,0,0
02:50:00:00,20.09,55.2,0,0
02:51:00:00,20.1,55.17,0,0
02:52:00:00,20.09,55.19,0,0
02:53:00:00,20.06,55.11,0,0
02:54:00:00,20.05,55.1,0,0
02:55:00:00,20.06,55.18,0,0
02:56:00:00,20.08,55.17,0,0
02:57:00:00,20.08,55.12,0,0
02:58:00:00,20.08,55.1,0,0
02:59:00:00,20.09,55.06,0,0
03:00:00:00,20.1,55.14,0,0
03:01:00:00,20.1,55.16,0,0
03:02:00:00,20.11,55.14,0,0
03:03:00:00,20.12,55.14,0,0
03:04:00:00,20.12,55.1,0,0
03:05:00:00,20.12,55.12,0,0
03:06:00:00,20.15,55.17,0,0
03:07:00:00,20.2,55.13,0,0
03:08:00:00,20.22,55.14,0,0
03:09:00:00,20.26,55.1,0,0
03:10:00:00,20.25,55.07,0,0
03:11:00:00,20.21,55.04,0,0
03:12:00:00,20.19,55.05,0,0
03:13:00:00,20.2,55.14,0,0
03:14:00:00,20.22,55.11,0,0
03:15:00:00,20.2,55.13,0,0
03:16:00:00,20.18,55.23,0,0
03:17:00:00,20.2,55.2,0,0
03:18:00:00,20.17,55.27,0,0
03:19:00:00,20.17,55.33,0,0
03:20:00:00,20.14,55.3,0,0
03:21:00:00,20.14,55.3,0,0
03:22:00:00,20.13,55.33,0,0
03:23:00:00,20.11,55.32,0,0
03:24:00:00,20.12,55.35,0,0
03:25:00:00,20.13,55.29,0,0
03:26:00:00,20.1,55.36,0,0
03:27:00:00,20.11,55.32,0,0
03:28:00:00,20.14,55.32,0,0
03:29:00:00,20.17,55.33,0,0
03:30:00:00,20.21,55.41,0,0
03:31:00:00,20.21,55.46,0,0
03:32:00:00,20.22,55.53,0,0
03:33:00:00,20.21,55.56,0,0
03:34:00:00,20.23,55.47,0,0
03:35:00:00,20.21,55.37,0,0
03:36:00:00,20.2,55.41,0,0
03:37:00:00,20.23,55.41,0,0
03:38:00:00,20.27,55.34,0,0
03:39:00:00,20.24,55.34,0,0
03:40:00:00,20.25,55.33,0,0
03:41:00:00,20.21,55.33,0,0
03:42:00:00,20.18,55.36,0,0
03:43:00:00,20.19,55.31,0,0
03:44:00:00,20.18,55.26,0,0
03:45:00:00,20.18,55.31,0,0
03:46:00:00,20.16,55.33,0,0
03:47:00:00,20.15,55.29,0,0
03:48:00:00,20.15,55.24,0,0
03:49:00:00,20.14,55.18,0,0
03:50:00:00,20.19,55.18,0,0
03:51:00:00,20.17,55.19,0,0
03:52:00:00,20.17,55.18,0,0
03:53:00:00,20.19,55.22,0,0
03:54:00:00,20.18,55.19,0,0
03:55:00:00,20.17,55.07,0,0
03:56:00:00,20.15,55.14,0,0
03:57:00:00,20.18,55.12,0,0
03:58:00:00,20.19,55.14,0,0
03:59:00:00,20.26,55.19,0,0
04:00:00:00,20.26,55.15,0,0
04:01:00:00,20.23,55.16,0,0
04:02:00:00,20.21,55.08,0,0
04:03:00:00,20.2,55.03,0,0
04:04:00:00,20.24,55.07,0,0
04:05:00:00,20.24,55.15,0,0
04:06:00:00,20.24,55.1,0,0
04:07:00:00,20.27,55.13,0,0
04:08:00:00,20.26,55.12,0,0
04:09:00:00,20.24,55.05,0,0
04:10:00:00,20.26,55.14,0,0
04:11:00:00,20.23,55.17,0,0
04:12:00:00,20.22,55.15,0,0
04:13:00:00,20.21,55.1,0,0
04:14:00:00,20.22,55.06,0,0
04:15:00:00,20.22,55.06,0,0
04:16:00:00,20.22,55.01,0,0
04:17:00:00,20.21,55.05,0,0
04:18:00:00,20.22,55.0,0,0
04:19:00:00,20.23,55.03,0,0
04:20:00:00,20.19,55.06,0,0
04:21:00:00,20.18,55.09,0,0
04:22:00:00,20.17,55.0,0,0
04:23:00:00,20.14,55.0,0,0
04:24:00:00,20.15,54.95,0,0
04:25:00:00,20.16,54.87,0,0
04:26:00:00,20.16,54.81,0,0
04:27:00:00,20.15,54.81,0,0
04:28:00:00,20.13,54.79,0,0
04:29:00:00,20.16,54.76,0,0
04:30:00:00,20.18,54.7,0,0
04:31:00:00,20.19,54.77,0,0
04:32:00:00,20.14,54.73,0,0
04:33:00:00,20.15,54.72,0,0
04:34:00:00,20.16,54.69,0,0
04:35:00:00,20.17,54.68,0,0
04:36:00:00,20.19,54.69,0,0
04:37:00:00,20.2,54.67,0,0
04:38:00:00,20.19,54.65,0,0
04:39:00:00,20.2,54.63,0,0
04:40:00:00,20.21,54.73,0,0
04:41:00:00,20.23,54.71,0,0
04:42:00:00,20.26,54.69,0,0
04:43:00:00,20.22,54.64,0,0
04:44:00:00,20.18,54.62,0,0
04:45:00:00,20.19,54.71,0,0
04:46:00:00,20.19,54.69,0,0
04:47:00:00,20.21,54.58,0,0
04:48:00:00,20.22,54.62,0,0
04:49:00:00,20.19,54.68,0,0
04:50:00:00,20.2,54.66,0,0
04:51:00:00,20.22,54.77,0,0
04:52:00:00,20.22,54.78,0,0
04:53:00:00,20.21,54.74,0,0
04:54:00:00,20.23,54.69,0,0
04:55:00:00,20.24,54.67,0,0
04:56:00:00,20.25,54.68,0,0
04:57:00:00,20.27,54.66,0,0
04:58:00:00,20.27,54.61,0,0
04:59:00:00,20.26,54.63,0,0
05:00:00:00,20.28,54.58,0,0
05:01:00:00,20.3,54.65,0,0
05:02:00:00,20.31,54.74,0,0
05:03:00:00,20.3,54.68,0,0
05:04:00:00,20.26,54.75,0,0
05:05:00:00,20.28,54.75,0,0
05:06:00:00,20.29,54.69,0,0
05:07:00:00,20.34,54.69,0,0
05:08:00:00,20.34,54.73,0,0
05:09:00:00,20.35,54.74,0,0
05:10:00:00,20.34,54.76,0,0
05:11:00:00,20.38,54.83,0,0
05:12:00:00,20.41,54.8,0,0
