id,timestamp,temperature,humidity,
1,2026-05-1207:31:19,22.3,28.4,
2,2026-05-1207:32:00,22.3,29.7,
3,2026-05-1207:32:42,22.3,29.1,
4,2026-05-1207:33:24,22.3,28.1,
5,2026-05-1207:34:05,22.2,27.3,
6,2026-05-1207:34:47,22.2,27.4,
7,2026-05-1207:35:28,22.1,27.4,
8,2026-05-1207:36:12,22.1,27.6,
9,2026-05-1207:36:36,22.1,27.9,
10,2026-05-1207:36:42,22.1,28.3,
11,2026-05-1207:36:47,22.1,28.4,
12,2026-05-1207:36:53,22.1,28.4,
13,2026-05-1207:36:58,22.1,28.5,
14,2026-05-1207:37:04,22.1,28.6,
15,2026-05-1207:37:09,22.1,28.6,
16,2026-05-1207:37:15,22.1,28.7,
17,2026-05-1207:37:21,22.1,28.8,
18,2026-05-1207:37:26,22.1,28.8,
19,2026-05-1207:37:32,22.1,28.8,
20,2026-05-1207:37:37,22.1,28.7,
21,2026-05-1207:37:43,22.1,28.8,
22,2026-05-1207:42:14,22.1,28.8,
23,2026-05-1207:42:19,22.2,29.4,
24,2026-05-1207:42:25,22.2,29.4,
25,2026-05-1207:42:31,22.2,29.4,
26,2026-05-1207:42:36,22.2,29.3,
27,2026-05-1207:42:42,22.2,29.1,
28,2026-05-1207:42:47,22.2,28.8,
29,2026-05-1207:42:53,22.2,28.7,
30,2026-05-1207:42:58,22.2,28.6,
31,2026-05-1207:43:04,22.1,28.7,
32,2026-05-1207:43:10,22.1,28.7,
33,2026-05-1207:43:15,22.1,28.7,
34,2026-05-1207:43:21,22.2,28.7,
35,2026-05-1207:43:26,22.2,28.7,
36,2026-05-1207:43:32,22.1,28.8,
37,2026-05-1207:43:38,22.1,28.8,
38,2026-05-1207:43:43,22.1,28.9,
39,2026-05-1207:43:49,22.1,28.9,
40,2026-05-1207:43:54,22.1,29.0,
41,2026-05-1207:44:00,22.1,29.0,
42,2026-05-1207:44:06,22.1,29.1,
43,2026-05-1207:44:11,22.1,29.2,
44,2026-05-1207:44:57,22.1,29.5,
45,2026-05-1207:45:02,22.1,29.5,
46,2026-05-1207:45:08,22.1,29.6,
47,2026-05-1207:45:14,22.1,29.5,
48,2026-05-1207:45:19,22.1,29.4,
49,2026-05-1207:45:25,22.1,29.4,
50,2026-05-1207:45:30,22.1,29.2,
51,2026-05-1207:45:36,22.1,29.1,
52,2026-05-1207:45:41,22.1,29.0,
53,2026-05-1207:45:47,22.1,29.0,
54,2026-05-1207:45:53,22.1,28.9,
55,2026-05-1207:45:58,22.1,28.7,
56,2026-05-1207:46:04,22.1,28.5,
57,2026-05-1209:00:38,22.1,28.8,
58,2026-05-1209:00:43,22.5,27.3,
59,2026-05-1209:00:48,22.5,27.4,
60,2026-05-1209:00:54,22.5,27.4,
61,2026-05-1209:01:00,22.4,27.5,
62,2026-05-1209:01:05,22.4,27.4,
63,2026-05-1209:01:11,22.4,27.5,
64,2026-05-1209:01:16,22.4,27.5,
65,2026-05-1209:01:22,22.5,27.5,
66,2026-05-1209:01:27,22.5,27.5,
67,2026-05-1209:01:33,22.4,27.5,
68,2026-05-1209:01:39,22.4,27.6,
69,2026-05-1209:01:44,22.4,27.6,
70,2026-05-1209:01:50,22.4,27.5,
71,2026-05-1209:01:55,22.4,27.6,
72,2026-05-1209:02:01,22.4,27.6,
73,2026-05-1209:02:07,22.4,27.6,
74,2026-05-1209:02:12,22.4,27.7,
75,2026-05-1209:02:18,22.4,27.7,
76,2026-05-1209:02:23,22.4,27.6,
77,2026-05-1209:02:29,22.4,27.4,
78,2026-05-1209:02:35,22.5,27.2,
79,2026-05-1209:02:40,22.4,27.1,
80,2026-05-1209:02:46,22.4,27.0,
81,2026-05-1209:02:51,22.4,27.0,
82,2026-05-1209:02:57,22.4,27.0,
83,2026-05-1209:03:03,22.4,27.0,
84,2026-05-1209:03:08,22.4,27.2,
85,2026-05-1209:03:14,22.4,27.1,
86,2026-05-1209:03:20,22.4,27.1,
87,2026-05-1209:03:25,22.4,27.2,
88,2026-05-1209:03:30,22.4,27.2,
89,2026-05-1209:03:36,22.4,27.3,
90,2026-05-1209:03:42,22.4,27.3,
91,2026-05-1209:03:47,22.4,27.3,
92,2026-05-1209:03:53,22.4,27.4,
93,2026-05-1209:03:59,22.4,27.4,
94,2026-05-1209:04:04,22.4,27.4,
95,2026-05-1209:04:10,22.4,27.4,
96,2026-05-1209:04:15,22.4,27.5,
97,2026-05-1209:04:21,22.5,27.5,
98,2026-05-1209:04:26,22.4,27.4,
99,2026-05-1209:04:32,22.4,27.4,
100,2026-05-1209:04:38,22.4,27.3,
101,2026-05-1209:04:43,22.4,27.3,
102,2026-05-1209:04:49,22.5,27.4,
103,2026-05-1209:04:54,22.5,27.3,
104,2026-05-1209:05:00,22.4,27.4,
105,2026-05-1209:05:06,22.4,27.4,
106,2026-05-1209:05:11,22.5,27.4,
107,2026-05-1209:05:17,22.4,27.3,
108,2026-05-1209:05:22,22.5,27.1,
109,2026-05-1209:05:28,22.4,27.1,
110,2026-05-1209:05:34,22.5,27.0,
111,2026-05-1209:05:39,22.5,27.0,
112,2026-05-1209:06:55,22.5,26.9,
113,2026-05-1209:07:00,22.5,26.8,
114,2026-05-1209:07:06,22.5,26.9,
115,2026-05-1209:07:12,22.5,26.9,
116,2026-05-1209:07:17,22.5,26.9,
117,2026-05-1209:07:23,22.5,26.8,
118,2026-05-1209:07:29,22.5,26.6,
119,2026-05-1209:07:34,22.5,26.6,
120,2026-05-1209:07:40,22.5,26.6,
121,2026-05-1209:07:45,22.5,26.5,
122,2026-05-1209:07:51,22.5,26.5,
123,2026-05-1209:07:56,22.5,26.5,
124,2026-05-1209:08:02,22.5,26.5,
125,2026-05-1209:08:08,22.5,26.4,
126,2026-05-1209:08:13,22.5,26.3,
127,2026-05-1209:08:19,22.5,26.2,
128,2026-05-1209:08:24,22.5,26.2,
129,2026-05-1209:08:30,22.5,26.2,
130,2026-05-1209:08:36,22.5,26.2,
131,2026-05-1209:08:41,22.5,26.2,
132,2026-05-1209:08:47,22.5,26.1,
133,2026-05-1209:08:53,22.5,26.1,
134,2026-05-1209:08:58,22.5,26.1,
135,2026-05-1209:09:04,22.5,26.1,
136,2026-05-1209:09:09,22.5,26.1,
137,2026-05-1209:09:15,22.5,26.1,
138,2026-05-1209:09:21,22.5,26.1,
139,2026-05-1209:09:26,22.5,26.2,
140,2026-05-1209:09:32,22.5,26.3,
141,2026-05-1209:09:37,22.5,26.4,
142,2026-05-1209:09:43,22.5,26.4,
143,2026-05-1209:09:49,22.5,26.5,
144,2026-05-1209:09:54,22.5,26.6,
145,2026-05-1209:10:00,22.5,26.7,
146,2026-05-1209:10:05,22.5,26.7,
147,2026-05-1209:10:11,22.5,26.7,
148,2026-05-1209:10:17,22.5,26.7,
149,2026-05-1209:10:22,22.5,26.8,
150,2026-05-1209:10:28,22.5,26.8,
151,2026-05-1209:10:33,22.5,26.8,
152,2026-05-1209:10:39,22.5,26.8,
153,2026-05-1209:10:45,22.5,26.8,
154,2026-05-1209:10:50,22.5,26.8,
155,2026-05-1209:10:56,22.5,26.8,
156,2026-05-1209:11:01,22.5,26.9,
157,2026-05-1209:11:07,22.5,26.9,
158,2026-05-1209:11:13,22.5,26.9,
159,2026-05-1209:11:18,22.6,27.0,
160,2026-05-1209:11:24,22.5,27.0,
161,2026-05-1209:11:29,22.6,27.0,
162,2026-05-1209:11:35,22.6,27.1,
163,2026-05-1209:11:41,22.6,27.1,
164,2026-05-1209:11:46,22.6,27.1,
165,2026-05-1209:11:52,22.6,27.2,
166,2026-05-1209:11:57,22.6,27.2,
167,2026-05-1209:12:03,22.6,27.2,
168,2026-05-1209:12:09,22.6,27.2,
169,2026-05-1209:12:15,22.6,27.3,
170,2026-05-1209:12:20,22.6,27.3,
171,2026-05-1209:12:25,22.6,27.4,
172,2026-05-1209:12:31,22.6,27.4,
173,2026-05-1209:12:37,22.6,27.4,
174,2026-05-1209:12:42,22.6,27.4,
175,2026-05-1209:12:48,22.6,27.5,
176,2026-05-1209:12:53,22.6,27.4,
177,2026-05-1209:12:59,22.6,27.5,
178,2026-05-1209:13:05,22.6,27.5,
179,2026-05-1209:13:10,22.6,27.5,
180,2026-05-1209:13:16,22.6,27.5,
181,2026-05-1209:13:21,22.6,27.6,
182,2026-05-1209:13:27,22.6,27.6,
183,2026-05-1209:13:33,22.6,27.5,
184,2026-05-1209:13:38,22.6,27.6,
185,2026-05-1209:13:44,22.6,27.6,
186,2026-05-1209:13:50,22.6,27.6,
187,2026-05-1209:13:55,22.6,27.6,
188,2026-05-1209:14:01,22.6,27.6,
189,2026-05-1209:14:06,22.6,27.6,
190,2026-05-1209:14:12,22.6,27.6,
191,2026-05-1209:14:18,22.6,27.6,
192,2026-05-1209:14:23,22.6,27.6,
193,2026-05-1209:14:29,22.6,27.7,
194,2026-05-1209:14:35,22.6,27.6,
195,2026-05-1209:14:40,22.6,27.6,
196,2026-05-1209:14:46,22.6,27.5,
197,2026-05-1209:14:51,22.7,27.5,
198,2026-05-1209:14:57,22.7,27.3,
199,2026-05-1209:15:02,22.7,27.3,
200,2026-05-1209:15:08,22.7,27.3,
201,2026-05-1209:15:14,22.7,27.3,
202,2026-05-1209:15:19,22.7,27.3,
203,2026-05-1209:15:25,22.7,27.4,
204,2026-05-1209:15:31,22.7,27.4,
205,2026-05-1209:15:36,22.7,27.4,
206,2026-05-1209:15:42,22.7,27.4,
207,2026-05-1209:15:47,22.7,27.5,
208,2026-05-1209:15:53,22.7,27.4,
209,2026-05-1209:15:58,22.7,27.5,
210,2026-05-1209:16:04,22.7,27.5,
211,2026-05-1209:16:10,22.7,27.5,
212,2026-05-1209:16:15,22.7,27.5,
213,2026-05-1209:16:21,22.7,27.5,
214,2026-05-1209:16:27,22.7,27.6,
215,2026-05-1209:16:32,22.7,27.4,
216,2026-05-1209:16:38,22.7,27.3,
217,2026-05-1209:16:43,22.7,27.2,
218,2026-05-1209:16:49,22.7,27.1,
219,2026-05-1210:54:17,22.7,24.0,
220,2026-05-1210:54:22,23.5,23.5,
221,2026-05-1210:54:28,23.5,23.5,
222,2026-05-1210:54:33,23.5,23.5,
223,2026-05-1210:54:39,23.5,23.6,
224,2026-05-1210:54:45,23.5,23.6,
225,2026-05-1210:54:50,23.5,23.7,
226,2026-05-1210:54:56,23.5,23.7,
227,2026-05-1210:55:01,23.5,23.8,
228,2026-05-1212:48:51,23.5,23.9,
229,2026-05-1212:48:57,23.6,26.7,
230,2026-05-1212:49:03,23.6,26.6,
231,2026-05-1212:49:10,23.6,26.6,
232,2026-05-1212:49:17,23.6,26.6,
233,2026-05-1212:49:23,23.6,26.7,
234,2026-05-1212:49:30,23.6,26.6,
235,2026-05-1212:49:36,23.6,26.7,
236,2026-05-1212:49:43,23.6,26.7,
237,2026-05-1212:49:49,23.6,26.7,
238,2026-05-1212:49:56,23.6,26.8,
239,2026-05-1212:50:03,23.6,26.8,
240,2026-05-1212:50:09,23.6,26.8,
241,2026-05-1212:50:16,23.6,26.9,
242,2026-05-1212:50:23,23.6,27.0,
243,2026-05-1212:50:29,23.6,26.9,
244,2026-05-1212:50:36,23.6,26.6,
245,2026-05-1212:50:42,23.6,26.5,
246,2026-05-1212:50:49,23.6,26.3,
247,2026-05-1212:50:55,23.6,26.2,
248,2026-05-1212:51:02,23.5,26.1,
249,2026-05-1212:56:25,23.2,26.1,
250,2026-05-1212:56:31,23.2,26.1,
251,2026-05-1212:56:38,23.1,26.1,
252,2026-05-1212:56:44,23.2,26.2,
253,2026-05-1212:56:51,23.1,26.2,
254,2026-05-1212:56:57,23.1,26.3,
255,2026-05-1212:57:04,23.1,26.3,
256,2026-05-1212:57:11,23.1,26.4,
257,2026-05-1212:57:17,23.1,26.3,
258,2026-05-1212:57:24,23.1,26.5,
259,2026-05-1213:30:15,23.1,28.8,
260,2026-05-1213:30:21,23.1,28.7,
261,2026-05-1213:30:28,23.2,28.8,
